system_time,camera_time,pos_x_cm,pos_y_cm,pos_z_cm,roll_deg,pitch_deg,yaw_deg,detection_confidence
1742380393.7498171,8877.870949999999,75.12319173437116,-173.8809059949527,2424.7894755160587,172.60357407416527,-16.906151994857808,-4.3779679151230795,0.01802114437676555
1742380393.929444,8878.042962,33.2367181073405,-131.6531960420925,2191.271343565948,-166.8916631793998,14.321091367429123,3.160681264764849,0.016036865017526557
1742380394.0947769,8878.214917,68.8021949984696,-41.48504152972512,1955.4568060915565,-169.31218199953818,12.58500464173792,6.139592702221865,0.014243836811828713
1742380394.266679,8878.390908,81.08430856262743,-26.439088029277684,1826.8483403044506,-168.06753219308808,2.63743549717148,8.374927326924444,0.013244421477603002
1742380394.4380393,8878.562963999999,73.24766123452838,-47.629477932284274,1686.750675078697,-178.34750783989335,8.552954000717483,10.03338033757933,0.012182464452553571
1742380394.6360574,8878.734962999999,68.24930177749235,-45.645104916578184,1603.9502092652697,-164.9104997007737,8.24552877442266,10.999286785677226,0.011736989776250201
1742380394.7803502,8878.910929,75.5939013536564,-55.1881296132205,1592.584712993396,-166.8557569240993,4.582807050702878,10.504177506787444,0.0115867916303747
1742380394.9535336,8879.082939,79.03207661734479,-54.4317264255508,1623.1807497841658,-169.10498441352226,0.5066542920191841,12.23825179960148,0.011766924897066789
1742380395.1334453,8879.25496,25.131820232160095,-75.85715286464054,1723.0683423909497,-171.22614220182516,3.3133248506972017,21.764873932588443,0.012441374937471345
1742380395.485296,8879.602937000001,-138.5109742058127,-90.75566592796766,1802.667275920324,-177.78805003610617,13.481371699702088,62.742816777393614,0.013328671877653466
1742380395.6583793,8879.774962,-251.88673452088776,-122.44234685475,1859.5088235356052,178.65298168112741,17.159283996188044,76.50518239667274,0.01403952107186739
1742380395.828521,8879.946995999999,-366.45226747533286,-173.59748134382872,1873.041726789692,-175.33669129660046,0.4135377430035775,86.17055113661179,0.014046119908332436
1742380396.0122285,8880.122913000001,-390.94114541860995,-217.10259184024432,1975.8297775242686,176.8178550670454,-9.93969695349904,90.62283053545852,0.01462844245011679
1742380396.182566,8880.294941,-341.5914486356003,-212.38895130758877,1884.647025471174,-171.64288362819323,-8.24824595956984,92.33776120401625,0.014210614419992003
1742380396.3455884,8880.467053999999,-299.9118087003671,-162.188054148139,1849.1415490454028,-168.07035920669688,-11.178942181191248,82.51719383094976,0.01394932641543008
1742380396.5341754,8880.642912000001,-222.43341560913598,-61.51827960957078,1855.5187040388294,157.12367952018738,-13.927227482259797,52.61059291402786,0.013823488962892403
1742380396.689321,8880.81494,-107.33160539650552,-5.230671032469317,1902.1547813709965,155.06178034239278,-11.349868177085446,22.256241016502,0.014316134573762084
1742380396.8638282,8880.987068,30.739091896722076,-39.3022617461211,2014.8026244522782,-163.23842474971985,17.24385805136895,0.25996865998102786,0.015004082073720924
1742380397.0511105,8881.158957,116.3207114138592,-95.00399429741786,2128.0439519693437,174.87194160761703,-10.476913927725116,-19.9304047872017,0.015568958225477053
1742380397.2164743,8881.334948999998,192.9803757182765,-177.32786140425029,2205.131108091157,-178.71604313015422,-16.756500939871536,-38.29274441854386,0.01658410484557324
1742380397.3842692,8881.507044,188.5649575071553,-227.27176079881005,2259.4992814180437,-171.06169114195157,-14.571801793273034,-55.36934234993173,0.01703100356778943
1742380397.5584104,8881.678957,144.8988154421099,-275.5521793610631,2320.751902262445,-171.17030706106922,-9.824907843673198,-59.567209526066385,0.017236454723008467
